employee_id,birth_date,Age,Hire_Year,Attrition,BusinessTravel,Department,Education,EducationField,Gender,EnvironmentSatisfaction,JobLevel,JobRole,JobSatisfaction,OverTime,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,city,university,rupiah_monthly_income,vaccinations,childern,MartialStatus,Survey Year
23,5/2/1969,53,1997,No,Travel_Rarely,Sales,Master,Life Sciences,Female,1,4,Manager,4,No,3,3,3,25,Tangerang,Universitas Indonesia,25783200,Booster,1,Married,2022
24,3/27/1984,38,2019,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,4,1,Research Scientist,4,Yes,3,3,3,3,Tangerang Selatan,Universitas Gadjah Mada,7410400,Two,0,Singgle,2022
26,6/13/1998,24,2018,No,Non-Travel,Research & Development,Diploma,Other,Female,1,2,Manufacturing Director,3,No,3,4,2,4,Jakarta Selatan,Institut Pertanian Bogor,7517600,One,4,Married,2022
27,1/18/1986,36,2017,Yes,Travel_Rarely,Sales,Master,Life Sciences,Male,3,1,Sales Representative,1,No,4,2,3,5,Jakarta Utara,Universitas Gadjah Mada,6551200,One,2,Married,2022
28,3/13/1988,34,2010,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,1,3,Research Director,2,No,3,3,3,12,Jakarta Utara,Institut Pertanian Bogor,20290400,One,0,Singgle,2022
30,3/21/2001,21,2022,No,Travel_Rarely,Research & Development,Diploma,Life Sciences,Male,3,1,Research Scientist,4,No,3,4,3,0,Jakarta Barat,Universitas Brawijaya,3071200,One,0,Singgle,2022
31,5/10/1988,34,2018,Yes,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,2,1,Research Scientist,1,No,3,3,3,4,Bekasi,Universitas Brawijaya,5836000,One,1,Married,2022
32,3/28/1969,53,2008,No,Travel_Rarely,Research & Development,Undergraduate,Other,Female,3,5,Manager,3,No,3,4,2,14,Jakarta Pusat,Universitas Gadjah Mada,31650400,One,0,Singgle,2022
33,6/21/1990,32,2012,Yes,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Female,2,1,Research Scientist,1,Yes,4,2,3,10,Bogor,Universitas Gadjah Mada,7370400,Two,4,Divorced,2022
35,6/13/1980,42,2013,No,Travel_Rarely,Sales,Master,Marketing,Male,3,2,Sales Executive,2,No,3,4,3,9,Jakarta Selatan,Universitas Pendidikan Indonesia,12020000,Booster,0,Singgle,2022
36,4/19/1978,44,2000,No,Travel_Rarely,Research & Development,Master,Medical,Female,1,3,Healthcare Representative,4,No,3,4,3,22,Jakarta Barat,Institut Teknologi Bandung,17496800,One,0,Singgle,2022
38,5/19/1976,46,2020,No,Travel_Rarely,Sales,Master,Marketing,Female,2,5,Manager,1,No,3,4,2,2,Jakarta Timur,Universitas Brawijaya,31415200,Booster,0,Married,2022
39,3/13/1989,33,2021,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,3,1,Laboratory Technician,4,No,3,4,3,1,Jakarta Barat,Institut Teknologi Sepuluh Nopember,5093600,One,1,Married,2022
40,6/8/1978,44,2018,No,Travel_Rarely,Research & Development,Master,Other,Male,4,2,Healthcare Representative,4,Yes,3,4,4,4,Tangerang,Universitas Sebelas Maret,11444000,Two,0,Singgle,2022
41,11/30/1992,30,2012,No,Travel_Rarely,Research & Development,Diploma,Medical,Male,4,1,Laboratory Technician,3,No,3,1,3,10,Jakarta Pusat,Universitas Padjadjaran,4629600,Booster,0,Singgle,2022
42,11/5/1983,39,2021,Yes,Travel_Rarely,Sales,Undergraduate,Technical Degree,Male,4,2,Sales Representative,4,No,3,3,4,1,Tangerang,Institut Teknologi Bandung,4437600,Two,0,Singgle,2022
45,7/6/1998,24,2020,Yes,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,2,1,Research Scientist,4,Yes,3,1,2,2,Jakarta Utara,Universitas Padjadjaran,4768800,Booster,0,Singgle,2022
46,5/10/1979,43,2017,No,Travel_Rarely,Research & Development,Diploma,Medical,Female,4,1,Research Scientist,3,No,3,4,2,5,Jakarta Barat,Universitas Gadjah Mada,5332000,One,1,Married,2022
47,10/6/1972,50,2019,Yes,Travel_Rarely,Sales,Diploma,Marketing,Male,1,1,Sales Representative,3,Yes,3,3,3,3,Jakarta Utara,Universitas Pendidikan Indonesia,5392800,One,1,Married,2022
49,5/3/1987,35,2020,No,Travel_Rarely,Sales,Undergraduate,Marketing,Female,4,1,Sales Representative,4,No,3,1,3,2,Jakarta Pusat,Universitas Padjadjaran,4322400,Booster,0,Singgle,2022
51,8/10/1986,36,2021,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,2,1,Research Scientist,1,Yes,3,4,4,1,Jakarta Pusat,Universitas Negeri Malang,6570400,Two,3,Married,2022
52,7/13/1989,33,2017,No,Travel_Frequently,Sales,Undergraduate,Life Sciences,Female,3,2,Sales Executive,1,No,3,1,3,5,Bekasi,Institut Teknologi Sepuluh Nopember,9701600,One,0,Singgle,2022
53,6/13/1987,35,2021,No,Travel_Rarely,Research & Development,Diploma,Other,Male,3,1,Laboratory Technician,4,No,3,3,3,1,Jakarta Pusat,Universitas Brawijaya,4221600,Booster,0,Singgle,2022
54,11/19/1995,27,2021,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,4,1,Laboratory Technician,1,No,3,4,3,1,Bogor,Universitas Sebelas Maret,4845600,One,0,Singgle,2022
55,3/22/1996,26,2021,Yes,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,1,1,Laboratory Technician,3,No,3,3,2,1,Jakarta Selatan,Universitas Pendidikan Indonesia,4768800,One,0,Singgle,2022
56,10/7/1995,27,2013,No,Travel_Frequently,Sales,Undergraduate,Life Sciences,Male,4,3,Sales Executive,3,No,3,4,3,9,Jakarta Pusat,Universitas Negeri Malang,15061600,One,0,Singgle,2022
57,6/13/1992,30,2010,No,Travel_Frequently,Research & Development,Diploma,Medical,Female,3,2,Laboratory Technician,4,No,4,4,3,12,Depok,Universitas Gadjah Mada,7517600,Two,0,Singgle,2022
58,12/27/1981,41,2000,Yes,Travel_Rarely,Research & Development,Undergraduate,Technical Degree,Female,2,5,Research Director,3,No,3,4,3,22,Jakarta Utara,Institut Pertanian Bogor,32372000,Booster,0,Singgle,2022
60,10/18/1988,34,2013,No,Non-Travel,Sales,Master,Marketing,Male,2,2,Sales Executive,3,No,4,3,3,9,Tangerang Selatan,Universitas Diponegoro,8408800,One,1,Divorced,2022
61,9/29/1985,37,2021,No,Travel_Rarely,Research & Development,Diploma,Life Sciences,Male,2,1,Research Scientist,2,No,4,1,3,1,Jakarta Selatan,Universitas Indonesia,5935200,Booster,1,Married,2022
62,10/18/1976,46,2013,No,Travel_Frequently,Sales,Master,Marketing,Male,1,2,Sales Executive,4,Yes,4,3,3,9,Jakarta Pusat,Universitas Negeri Malang,10335200,Two,1,Married,2022
63,7/18/1987,35,2021,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,4,1,Laboratory Technician,4,No,3,4,3,1,Depok,Universitas Padjadjaran,4730400,Booster,0,Singgle,2022
64,5/18/1974,48,2021,Yes,Travel_Rarely,Research & Development,Diploma,Life Sciences,Male,1,3,Laboratory Technician,3,Yes,3,4,3,1,Tangerang Selatan,Universitas Padjadjaran,9709600,Two,0,Singgle,2022
65,7/10/1994,28,2020,Yes,Travel_Rarely,Research & Development,Master,Technical Degree,Male,3,1,Laboratory Technician,3,Yes,3,3,2,2,Jakarta Utara,Universitas Negeri Malang,6605600,One,1,Married,2022
68,6/8/1978,44,2018,No,Travel_Rarely,Sales,Doctor,Marketing,Female,2,2,Sales Executive,1,Yes,4,3,2,4,Tangerang Selatan,Institut Teknologi Bandung,9826400,One,2,Divorced,2022
70,3/23/1987,35,2018,No,Non-Travel,Research & Development,Diploma,Medical,Male,3,3,Healthcare Representative,1,Yes,3,3,3,4,Depok,Institut Teknologi Sepuluh Nopember,16914400,Booster,0,Singgle,2022
72,4/6/1996,26,2020,No,Travel_Rarely,Sales,Undergraduate,Marketing,Female,3,2,Sales Executive,4,Yes,3,3,2,2,Jakarta Utara,Universitas Negeri Malang,7751200,One,1,Married,2022
73,11/5/1989,33,2007,No,Travel_Frequently,Research & Development,Diploma,Life Sciences,Female,1,3,Research Director,4,Yes,3,3,3,15,Depok,Universitas Gadjah Mada,22632800,Two,0,Singgle,2022
74,5/25/1987,35,2013,No,Travel_Frequently,Sales,Doctor,Life Sciences,Male,2,3,Sales Executive,1,No,4,4,2,9,Jakarta Pusat,Universitas Airlangga,15610400,One,0,Singgle,2022
75,10/1/1987,35,2020,No,Travel_Rarely,Research & Development,Master,Medical,Female,3,1,Laboratory Technician,1,Yes,3,3,3,2,Depok,Universitas Indonesia,7522400,Two,0,Singgle,2022
76,11/24/1991,31,2015,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,4,2,Laboratory Technician,4,No,4,4,2,7,Jakarta Timur,Universitas Gadjah Mada,10564000,One,2,Married,2022
77,11/13/1985,37,2015,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,1,2,Manufacturing Director,3,No,3,3,4,7,Jakarta Pusat,Institut Teknologi Sepuluh Nopember,10688800,Two,1,Married,2022
78,7/8/1990,32,2013,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,1,2,Manufacturing Director,4,Yes,4,2,3,9,Jakarta Selatan,Universitas Sebelas Maret,10959200,One,0,Married,2022
79,5/8/1984,38,2012,No,Travel_Frequently,Research & Development,Doctor,Life Sciences,Female,4,2,Laboratory Technician,4,No,3,4,3,10,Jakarta Timur,Universitas Indonesia,4949600,Two,0,Singgle,2022
80,7/5/1972,50,1995,No,Travel_Rarely,Research & Development,Diploma,Medical,Female,2,5,Research Director,3,Yes,3,4,2,27,Bogor,Universitas Indonesia,31084000,Booster,0,Singgle,2022
81,6/13/1963,59,2001,No,Travel_Rarely,Sales,Undergraduate,Life Sciences,Female,1,3,Sales Executive,1,No,3,4,2,21,Jakarta Selatan,Universitas Negeri Malang,13319200,One,4,Married,2022
83,2/8/1986,36,2005,No,Travel_Rarely,Research & Development,Undergraduate,Technical Degree,Female,3,3,Healthcare Representative,3,No,3,2,3,17,Jakarta Utara,Universitas Brawijaya,17253600,One,2,Married,2022
84,6/21/1967,55,2017,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Female,4,4,Manager,3,Yes,3,3,3,5,Tangerang,Institut Teknologi Bandung,24709600,One,0,Singgle,2022
85,9/8/1986,36,2016,No,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Male,2,2,Manufacturing Director,2,No,3,3,3,6,Bogor,Universitas Negeri Semarang,11498400,One,0,Singgle,2022
86,11/8/1977,45,2021,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,2,3,Research Scientist,1,No,3,3,3,1,Tangerang Selatan,Universitas Indonesia,16658400,Booster,0,Singgle,2022
88,10/13/1987,35,2019,No,Travel_Frequently,Research & Development,Undergraduate,Medical,Male,2,1,Research Scientist,1,No,3,4,2,3,Tangerang,Institut Teknologi Bandung,4610400,One,1,Divorced,2022
90,7/13/1986,36,2021,Yes,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,4,1,Research Scientist,3,Yes,3,1,2,1,Jakarta Utara,Universitas Negeri Malang,6520800,One,0,Singgle,2022
91,6/6/1963,59,2018,No,Travel_Frequently,Sales,Undergraduate,Life Sciences,Female,1,2,Sales Executive,3,No,3,4,2,4,Tangerang,Universitas Brawijaya,9856800,Two,0,Singgle,2022
94,12/23/1993,29,2017,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,3,1,Research Scientist,2,No,4,4,3,5,Jakarta Utara,Universitas Negeri Malang,5424800,Two,0,Singgle,2022
95,11/13/1991,31,2021,No,Travel_Rarely,Research & Development,Master,Medical,Male,3,1,Research Scientist,2,No,3,2,3,1,Jakarta Utara,Universitas Negeri Malang,5101600,Two,0,Singgle,2022
96,8/30/1990,32,2012,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,2,2,Research Scientist,2,No,3,2,3,10,Tangerang,Universitas Padjadjaran,11052000,Booster,1,Married,2022
97,6/8/1986,36,2021,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Female,2,1,Laboratory Technician,4,No,3,2,3,1,Jakarta Selatan,Universitas Padjadjaran,5960800,One,0,Singgle,2022
98,7/8/1991,31,2011,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,3,2,Manufacturing Director,4,No,4,4,3,11,Bekasi,Universitas Bina Nusantara,8178400,Two,1,Married,2022
100,7/12/1987,35,2007,No,Travel_Rarely,Sales,Master,Marketing,Male,3,2,Sales Executive,1,No,3,2,3,15,Jakarta Utara,Universitas Indonesia,7999200,Booster,2,Married,2022
101,6/18/1977,45,2022,No,Travel_Rarely,Research & Development,Master,Other,Male,4,3,Research Director,1,Yes,3,2,4,0,Jakarta Selatan,Universitas Padjadjaran,22292000,One,4,Married,2022
102,7/29/1985,37,2017,No,Travel_Rarely,Research & Development,Master,Medical,Male,1,3,Research Director,3,No,3,1,4,5,Jakarta Utara,Universitas Pendidikan Indonesia,22962400,Booster,1,Divorced,2022
103,11/9/1976,46,2018,No,Travel_Rarely,Human Resources,Diploma,Medical,Male,2,2,Human Resources,2,Yes,4,4,3,4,Jakarta Utara,Institut Teknologi Bandung,9133600,Booster,3,Married,2022
104,10/8/1992,30,2012,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,4,2,Laboratory Technician,4,Yes,3,3,2,10,Tangerang,Universitas Indonesia,9301600,Two,2,Divorced,2022
105,9/30/1987,35,2016,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,2,1,Research Scientist,3,No,3,1,3,6,Tangerang,Institut Pertanian Bogor,5674400,Two,1,Married,2022
106,7/13/1967,55,2021,No,Travel_Rarely,Sales,Diploma,Life Sciences,Male,1,3,Sales Executive,4,No,3,4,3,1,Jakarta Selatan,Universitas Negeri Semarang,17482400,One,0,Singgle,2022
107,9/26/1984,38,2009,No,Non-Travel,Research & Development,Undergraduate,Medical,Female,2,2,Research Scientist,4,Yes,3,4,3,13,Tangerang Selatan,Institut Teknologi Bandung,9626400,Two,1,Married,2022
110,10/11/1988,34,2017,No,Travel_Rarely,Research & Development,Diploma,Medical,Male,1,2,Manufacturing Director,2,No,3,3,3,5,Jakarta Pusat,Institut Pertanian Bogor,8020000,One,0,Singgle,2022
112,7/13/1966,56,2016,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,4,3,Manufacturing Director,4,No,3,1,2,6,Tangerang,Universitas Indonesia,12716000,One,1,Married,2022
113,5/13/1999,23,2022,No,Travel_Rarely,Sales,Undergraduate,Technical Degree,Male,3,1,Sales Representative,1,No,3,3,3,0,Depok,Institut Teknologi Bandung,4815200,One,0,Married,2022
116,10/19/1971,51,2018,No,Travel_Rarely,Research & Development,Master,Life Sciences,Male,4,1,Laboratory Technician,4,No,4,2,3,4,Jakarta Selatan,Universitas Brawijaya,4420000,Two,1,Married,2022
117,1/13/1992,30,2011,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,3,2,Healthcare Representative,4,No,3,1,3,11,Jakarta Selatan,Institut Teknologi Sepuluh Nopember,7743200,Booster,0,Singgle,2022
118,6/10/1976,46,2013,Yes,Travel_Rarely,Sales,Diploma,Medical,Male,3,3,Sales Executive,4,No,3,4,3,9,Jakarta Barat,Universitas Bina Nusantara,16490400,One,0,Singgle,2022
119,11/13/1982,40,2000,No,Travel_Frequently,Research & Development,Master,Life Sciences,Male,3,4,Healthcare Representative,2,No,4,4,2,22,Tangerang,Institut Teknologi Bandung,22704800,Two,0,Singgle,2022
120,9/26/1971,51,2012,No,Travel_Rarely,Sales,Master,Marketing,Male,3,2,Sales Executive,4,Yes,4,4,1,10,Jakarta Pusat,Universitas Indonesia,9805600,Two,4,Married,2022
121,9/23/1992,30,2011,No,Travel_Rarely,Sales,Diploma,Medical,Female,3,2,Sales Executive,2,Yes,3,2,2,11,Jakarta Pusat,Universitas Padjadjaran,9434400,Booster,1,Divorced,2022
124,11/9/1976,46,2012,No,Travel_Frequently,Research & Development,Undergraduate,Medical,Male,3,3,Healthcare Representative,1,Yes,3,3,2,10,Jakarta Timur,Universitas Indonesia,18176800,Two,1,Married,2022
125,10/10/1990,32,2011,No,Travel_Rarely,Sales,Master,Medical,Male,2,2,Sales Executive,3,No,3,1,3,11,Jakarta Utara,Universitas Padjadjaran,9116000,One,1,Married,2022
126,1/11/1968,54,2018,No,Travel_Rarely,Research & Development,Master,Technical Degree,Female,1,3,Research Director,3,No,3,1,1,4,Bogor,Universitas Indonesia,22778400,Two,0,Singgle,2022
128,6/24/1998,24,2019,No,Travel_Rarely,Sales,Diploma,Other,Female,1,2,Sales Executive,3,No,4,1,2,3,Depok,Universitas Negeri Malang,9098400,One,2,Married,2022
129,9/13/1994,28,2017,No,Non-Travel,Sales,Undergraduate,Medical,Male,2,2,Sales Executive,3,No,3,2,4,5,Jakarta Barat,Universitas Diponegoro,7853600,One,1,Married,2022
131,12/26/1964,58,1985,No,Travel_Rarely,Sales,Master,Medical,Male,4,4,Sales Executive,3,No,3,3,2,37,Depok,Universitas Sebelas Maret,23295200,One,0,Singgle,2022
132,9/10/1978,44,2019,No,Non-Travel,Research & Development,Undergraduate,Medical,Male,2,2,Laboratory Technician,2,No,3,3,4,3,Tangerang Selatan,Institut Teknologi Bandung,4367200,One,1,Married,2022
133,6/4/1985,37,2019,Yes,Travel_Rarely,Human Resources,Master,Human Resources,Male,3,1,Human Resources,1,Yes,4,4,3,3,Tangerang Selatan,Universitas Gadjah Mada,4416800,Two,0,Singgle,2022
134,6/13/1990,32,2021,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,4,1,Research Scientist,1,No,3,4,3,1,Jakarta Utara,Universitas Padjadjaran,5829600,Two,4,Married,2022
137,6/10/2002,20,2021,Yes,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Female,4,1,Laboratory Technician,4,Yes,3,2,3,1,Jakarta Selatan,Universitas Negeri Malang,5781600,Booster,1,Married,2022
138,1/8/1988,34,2006,No,Travel_Rarely,Research & Development,Master,Other,Female,1,2,Research Scientist,3,No,3,3,3,16,Jakarta Selatan,Universitas Indonesia,8794400,Booster,0,Singgle,2022
139,6/4/1985,37,2021,No,Non-Travel,Research & Development,Diploma,Life Sciences,Male,3,2,Healthcare Representative,4,No,3,4,4,1,Tangerang Selatan,Universitas Diponegoro,9360800,Two,0,Singgle,2022
140,11/11/1963,59,2019,No,Non-Travel,Human Resources,Master,Human Resources,Female,3,5,Manager,4,No,4,4,3,3,Jakarta Selatan,Universitas Brawijaya,31250400,One,1,Divorced,2022
141,1/13/1972,50,2014,No,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Female,1,5,Research Director,2,Yes,3,1,2,8,Tangerang Selatan,Institut Teknologi Sepuluh Nopember,30175200,Two,1,Married,2022
142,6/10/1997,25,2016,Yes,Travel_Rarely,Sales,Undergraduate,Marketing,Male,3,2,Sales Executive,3,Yes,3,4,3,6,Bogor,Universitas Bina Nusantara,10290400,One,0,Singgle,2022
143,8/13/1997,25,2020,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,4,1,Research Scientist,4,No,3,3,3,2,Jakarta Selatan,Universitas Gadjah Mada,5722400,Two,0,Singgle,2022
144,7/13/2000,22,2022,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Female,2,1,Laboratory Technician,4,No,3,3,3,0,Depok,Universitas Indonesia,5693600,Booster,1,Married,2022
145,7/4/1971,51,2009,No,Travel_Frequently,Research & Development,Master,Medical,Female,1,3,Healthcare Representative,1,No,4,3,2,13,Jakarta Utara,Universitas Padjadjaran,13074400,One,1,Married,2022
147,10/8/1988,34,2013,Yes,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Male,1,2,Laboratory Technician,3,Yes,4,4,3,9,Jakarta Utara,Universitas Negeri Malang,10818400,Two,1,Divorced,2022
148,1/5/1968,54,2017,No,Non-Travel,Human Resources,Undergraduate,Human Resources,Female,4,4,Manager,4,Yes,3,3,3,5,Jakarta Pusat,Institut Teknologi Bandung,28824800,One,0,Singgle,2022
150,10/30/1998,24,2017,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,2,1,Laboratory Technician,3,No,3,3,3,5,Jakarta Utara,Universitas Gadjah Mada,5538400,Booster,1,Married,2022
151,6/14/1988,34,2021,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,3,2,Research Scientist,2,No,3,3,3,1,Depok,Universitas Indonesia,8308000,Two,0,Singgle,2022
152,11/6/1985,37,2017,No,Travel_Rarely,Sales,Undergraduate,Life Sciences,Male,3,3,Sales Executive,4,No,3,1,3,5,Tangerang Selatan,Institut Pertanian Bogor,12984800,One,1,Married,2022
153,1/13/1988,34,2011,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Female,3,3,Manager,1,No,3,4,3,11,Bogor,Universitas Indonesia,19709600,Booster,0,Singgle,2022
154,1/30/1986,36,2013,No,Travel_Frequently,Sales,Diploma,Technical Degree,Female,2,3,Sales Executive,4,No,3,3,3,9,Bogor,Universitas Sebelas Maret,16680800,Two,0,Singgle,2022
155,3/30/1986,36,2021,No,Travel_Rarely,Research & Development,Diploma,Life Sciences,Female,1,1,Laboratory Technician,4,No,4,1,3,1,Tangerang,Universitas Indonesia,5636000,One,0,Singgle,2022
158,5/17/1979,43,1997,No,Travel_Frequently,Sales,Diploma,Life Sciences,Male,3,4,Manager,4,Yes,3,4,4,25,Tangerang Selatan,Institut Pertanian Bogor,28234400,One,0,Singgle,2022
159,1/8/1992,30,2012,No,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Male,1,1,Research Scientist,3,No,4,3,2,10,Bekasi,Universitas Negeri Malang,5280800,One,0,Singgle,2022
160,10/6/1989,33,2015,No,Non-Travel,Sales,Diploma,Marketing,Male,3,2,Sales Executive,2,No,3,1,4,7,Jakarta Selatan,Universitas Sebelas Maret,10933600,One,0,Singgle,2022
161,9/10/1966,56,2017,Yes,Travel_Rarely,Research & Development,Master,Life Sciences,Female,2,1,Research Scientist,2,Yes,3,1,3,5,Tangerang Selatan,Institut Pertanian Bogor,9040800,One,0,Singgle,2022
162,10/8/1971,51,2002,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,1,5,Research Director,3,No,3,3,3,20,Jakarta Selatan,Universitas Bina Nusantara,32359200,One,2,Married,2022
163,4/13/1991,31,2015,Yes,Travel_Rarely,Sales,Master,Life Sciences,Male,2,2,Sales Executive,3,Yes,3,2,2,7,Bekasi,Universitas Gadjah Mada,10975200,Two,1,Divorced,2022
164,1/8/1996,26,2017,No,Travel_Rarely,Research & Development,Undergraduate,Other,Female,3,1,Research Scientist,2,No,3,3,2,5,Bekasi,Universitas Gadjah Mada,4888800,One,0,Singgle,2022
165,7/13/1964,58,1982,Yes,Travel_Rarely,Research & Development,Master,Medical,Female,4,3,Healthcare Representative,4,No,3,4,2,40,Bekasi,Universitas Indonesia,17599200,One,3,Married,2022
167,6/13/2003,19,2022,Yes,Travel_Rarely,Sales,Undergraduate,Marketing,Male,4,1,Sales Representative,3,Yes,3,4,2,0,Jakarta Timur,Universitas Sebelas Maret,3780000,Two,0,Singgle,2022
169,1/6/2000,22,2020,No,Travel_Rarely,Research & Development,Undergraduate,Technical Degree,Male,3,1,Laboratory Technician,4,No,3,3,3,2,Depok,Universitas Negeri Semarang,5136800,One,2,Married,2022
